mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2010,169500,1390,Gasoline,29900
audi,a3,gen-8p-2003-2012,2018,67990,1500,Gasoline,129850
audi,a3,gen-8p-2003-2012,2008,222248,1896,Diesel,22900
audi,a3,gen-8p-2003-2012,2010,243000,1968,Diesel,27907
audi,a3,gen-8p-2003-2012,2009,259658,1598,Diesel,23900
audi,a3,gen-8p-2003-2012,2008,306000,1968,Diesel,26000
audi,a3,gen-8p-2003-2012,2009,198050,1595,Gasoline,24000
audi,a3,gen-8p-2003-2012,2008,234000,1798,Gasoline,27900
audi,a3,gen-8p-2003-2012,2004,215000,1595,Gasoline,9900
audi,a3,gen-8p-2003-2012,2008,258000,1968,Diesel,30900
audi,a3,gen-8p-2003-2012,2008,195000,1896,Diesel,5900
audi,a3,gen-8p-2003-2012,2009,246000,1968,Diesel,36900
audi,a3,gen-8p-2003-2012,2009,154000,1798,Gasoline,34990
audi,a3,gen-8p-2003-2012,2005,234300,1595,Gasoline,19600
audi,a3,gen-8p-2003-2012,2011,135000,1798,Gasoline,37900
audi,a3,gen-8p-2003-2012,2008,192347,1968,Diesel,32900
audi,a3,gen-8p-2003-2012,2009,265000,1798,Gasoline,25900
audi,a3,gen-8p-2003-2012,2009,242000,1896,Diesel,27999
audi,a3,gen-8p-2003-2012,2009,250000,1968,Diesel,29000
audi,a3,gen-8p-2003-2012,2003,194000,1595,Gasoline,9900
audi,a3,gen-8p-2003-2012,2008,194000,1798,Gasoline,24900
audi,a3,gen-8p-2003-2012,2012,225000,1598,Diesel,34800
audi,a3,gen-8p-2003-2012,2006,195000,1984,Gasoline,16900
audi,a3,gen-8p-2003-2012,2004,261000,1968,Diesel,7990
audi,a3,gen-8p-2003-2012,2008,337000,1896,Diesel,19000
audi,a3,gen-8p-2003-2012,2003,174000,1984,Gasoline,12800
audi,a3,gen-8p-2003-2012,2008,203000,1968,Diesel,26000
audi,a3,gen-8p-2003-2012,2008,128706,1896,Diesel,22990
audi,a3,gen-8p-2003-2012,2010,122500,1595,Gasoline,33950
audi,a3,gen-8p-2003-2012,2008,158700,1595,Gasoline,24900
audi,a3,gen-8p-2003-2012,2009,207479,2000,Diesel,26300
audi,a3,gen-8p-2003-2012,2004,245000,1896,Diesel,16800
audi,a3,gen-8p-2003-2012,2006,172143,1595,Gasoline,18499
audi,a3,gen-8p-2003-2012,2012,237000,1968,Diesel,39900
audi,a3,gen-8p-2003-2012,2011,68000,1968,Diesel,37900
audi,a3,gen-8p-2003-2012,2009,231000,1390,Gasoline,27900
audi,a3,gen-8p-2003-2012,2009,238000,1896,Diesel,26900
audi,a3,gen-8p-2003-2012,2003,200367,1984,Gasoline,11999
