LIMITBAL,AGE,PAY0,PAY1,PAY2,PAY3,PAY4,PAYMENT
20000,24,2,2,-1,-1,-2,1
120000,26,-1,2,0,0,0,1
90000,34,0,0,0,0,0,0
50000,37,0,0,0,0,0,0
50000,57,-1,0,-1,0,0,0
50000,37,0,0,0,0,0,0
500000,29,0,0,0,0,0,0
100000,23,0,-1,-1,0,0,0
140000,28,0,0,2,0,0,0
20000,35,-2,-2,-2,-2,-1,0
200000,34,0,0,2,0,0,0
260000,51,-1,-1,-1,-1,-1,0
630000,41,-1,0,-1,-1,-1,0
70000,30,1,2,2,0,0,1
250000,29,0,0,0,0,0,0
50000,23,1,2,0,0,0,0
20000,24,0,0,2,2,2,1
320000,49,0,0,0,-1,-1,0
360000,49,1,-2,-2,-2,-2,0
180000,29,1,-2,-2,-2,-2,0
130000,39,0,0,0,0,0,0
120000,39,-1,-1,-1,-1,-1,1
70000,26,2,0,0,2,2,1
450000,40,-2,-2,-2,-2,-2,1
90000,23,0,0,0,-1,0,0
50000,23,0,0,0,0,0,0
60000,27,1,-2,-1,-1,-1,1
50000,30,0,0,0,0,0,0
50000,47,-1,-1,-1,-1,-1,0
50000,26,0,0,0,0,0,0
230000,27,-1,-1,-1,-1,-1,0
50000,33,2,0,0,0,0,1
100000,32,0,0,0,0,0,0
500000,54,-2,-2,-2,-2,-2,0
500000,58,-2,-2,-2,-2,-2,0
160000,30,-1,-1,-2,-2,-2,0
280000,40,0,0,0,0,0,0
60000,22,0,0,0,0,0,0
50000,25,1,-1,-1,-2,-2,1
280000,31,-1,-1,2,-1,0,0
360000,33,0,0,0,0,0,0
70000,25,0,0,0,0,0,0
10000,22,0,0,0,0,0,0
140000,37,0,0,0,0,0,0
40000,30,0,0,0,2,0,0
210000,29,-2,-2,-2,-2,-2,1
20000,22,0,0,2,-1,0,1
150000,46,0,0,-1,0,0,1
380000,32,-1,-1,-1,-1,-1,0
20000,24,0,0,0,0,0,0
70000,42,1,2,2,2,2,1
100000,43,0,0,0,0,0,0
310000,49,-2,-2,-2,-2,-2,0
180000,25,1,2,0,0,0,0
150000,29,2,0,0,0,0,0
500000,45,-2,-2,-2,-2,-2,0
180000,34,0,0,0,-1,-1,0
180000,34,0,0,0,0,0,0
200000,34,-1,3,2,2,2,0
400000,29,0,0,0,0,0,0
500000,28,0,0,0,0,0,1
70000,39,0,0,0,0,0,0
50000,29,2,2,2,2,2,1
50000,46,0,0,0,-2,-2,1
130000,51,-1,-1,-2,-2,-1,0
200000,57,-2,-2,-2,-1,2,1
10000,56,2,2,2,0,0,1
210000,30,2,-1,-1,-1,-1,0
130000,29,1,-2,-2,-1,2,0
20000,22,2,0,0,0,0,0
80000,31,-1,-1,-1,-1,-1,0
320000,29,2,2,2,2,2,1
200000,32,-1,-1,-1,-1,2,0
290000,37,1,-2,-1,-1,-1,0
340000,32,-1,-1,-1,-1,-1,0
20000,24,0,0,2,0,0,0
50000,25,-1,0,0,0,0,0
300000,45,-1,-1,-1,-1,-1,0
30000,22,0,0,0,0,0,1
