ph,Hardness,Solids,Chloramines,Conductivity,Organic_carbon,Turbidity,Potability
,204.8904555,20791.31898,7.300211873,564.3086542,10.37978308,2.963135381,0
3.716080075,129.4229205,18630.05786,6.635245884,592.8853591,15.18001312,4.500656275,0
8.099124189,224.2362594,19909.54173,9.275883603,418.6062131,16.86863693,3.05593375,0
8.316765884,214.3733941,22018.41744,8.059332377,363.2665162,18.4365245,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,398.4108134,11.55827944,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,280.4679159,8.39973464,2.559708228,0
10.22386216,248.0717353,28749.71654,7.513408466,283.6516335,13.78969532,2.672988737,0
8.635848719,203.3615226,13672.09176,4.563008686,474.6076449,12.3638167,4.401424715,0
,118.9885791,14285.58385,7.804173553,389.3755659,12.70604897,3.595017181,0
11.18028447,227.2314692,25484.50849,9.077200017,563.8854815,17.92780641,4.370561937,0
7.360640106,165.5207973,32452.61441,7.550700907,425.3834195,15.58681044,3.662291783,0
7.974521649,218.6933005,18767.65668,8.110384501,364.0982305,14.5257457,4.011718108,0
7.119824384,156.7049933,18730.81365,3.606036091,347.7150273,15.92953591,3.445756223,0
,150.1749234,27331.36196,6.838223471,379.7618348,19.37080718,4.413974183,0
7.496232208,205.3449822,28388.00489,5.072557774,444.6453523,13.2283111,4.777382337,0
6.347271761,186.7328807,41065.23476,9.629596276,516.7432819,11.53978119,4.376348291,0
7.0517858,211.0494061,30980.60079,10.09479601,315.1412672,20.39702184,4.268428858,0
9.181560007,273.8138067,24041.32628,6.904989726,477.9746419,13.38734078,4.503660796,0
8.975464348,279.3571668,19460.39813,6.204320859,431.44399,12.88875905,2.43608559,0
7.371050302,214.4966105,25630.32004,4.43266929,469.9145515,12.50916394,2.560299148,0
,227.4350484,22305.56741,10.33391789,554.8200865,16.33169328,4.133422644,0
6.660212026,168.2837469,30944.36359,5.858769131,523.6712975,17.88423519,3.749701241,0
,215.9778587,17107.22423,5.607060453,436.256194,14.18906221,5.459250956,0
3.902475686,196.9032467,21167.5001,6.996311586,444.4788825,16.60903316,4.528522696,0
5.400301781,140.7390623,17266.59342,10.05685248,472.8740733,11.25638117,4.82478639,0
6.514415093,198.7673513,21218.70287,8.67093692,413.2904501,14.89999957,5.200885077,0
3.445061864,207.9262602,33424.76868,8.782147481,441.7858757,13.80590221,4.184396969,0
,145.7681806,13224.93564,7.906444721,298.9906665,12.72952472,4.004871128,0
,266.4210181,26362.96501,7.70006347,364.4801067,10.34895076,3.991564248,0
